,address,incidentCount,lat,lng,incidentCummSum,daysWithIncidentPercent
125,"1 MT RUNDLE BD, LETHBRIDGE, AB, Canada",75,49.6583492,-112.8719545,0.5582479743158538,0.15636363636363637
126,"1900 23 ST, LETHBRIDGE, AB, Canada",74,49.7220388,-112.810835,0.5596621311726035,0.15636363636363637
127,"200 COLUMBIA BD, LETHBRIDGE, AB, Canada",74,49.6754353,-112.8760899,0.5610762880293533,0.15636363636363637
128,"200 STAFFORD DR, LETHBRIDGE, AB, Canada",73,49.6971193,-112.8341389,0.5624713346583091,0.16363636363636364
129,"1600 3 AV, LETHBRIDGE, AB, Canada",73,49.7026762,-112.8196765,0.563866381287265,0.16363636363636364
130,"1700 16 AV, LETHBRIDGE, AB, Canada",73,49.6761789,-112.8180629,0.5652614279162208,0.14545454545454545
131,"1000 19 ST, LETHBRIDGE, AB, Canada",73,49.71397450000001,-112.8145269,0.5666564745451765,0.1709090909090909
132,"100 3 AV, LETHBRIDGE, AB, Canada",71,49.69519200000001,-112.8471251,0.5680133007185446,0.13818181818181818
133,"2700 FAIRWAY RD, LETHBRIDGE, AB, Canada",70,49.6684876,-112.7882897,0.5693510166641186,0.1709090909090909
134,"400 6 ST, LETHBRIDGE, AB, Canada",69,49.6940895,-112.8388833,0.5706696223818988,0.14181818181818182
135,"900 4 AV, LETHBRIDGE, AB, Canada",69,49.6941444,-112.8334221,0.571988228099679,0.18181818181818182
136,"1300 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",69,49.67871239999999,-112.803859,0.5733068338174591,0.13454545454545455
137,"300 11 ST, LETHBRIDGE, AB, Canada",68,49.69586450000001,-112.8306654,0.5746063293074454,0.16727272727272727
138,"1 KEYSTONE TE, LETHBRIDGE, AB, Canada",67,49.6683681,-112.9134652,0.5758867145696377,0.13090909090909092
139,"1600 15 AV, LETHBRIDGE, AB, Canada",66,49.6770936,-112.8195739,0.5771479896040361,0.16
140,"1 MCGILL BD, LETHBRIDGE, AB, Canada",66,49.6716924,-112.8692575,0.5784092646384345,0.14909090909090908
141,"200 41 ST, LETHBRIDGE, AB, Canada",66,49.72146610000001,-112.7810752,0.5796705396728329,0.13454545454545455
142,"1000 24 ST, LETHBRIDGE, AB, Canada",65,49.71389629999999,-112.807302,0.5809127044794374,0.13090909090909092
143,"2700 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",65,49.6678863,-112.7977472,0.5821548692860419,0.12
144,"900 COLUMBIA BD, LETHBRIDGE, AB, Canada",65,49.6648854,-112.8841815,0.5833970340926464,0.14545454545454545
