address,incidentCount,lat,lng
"1 RIVERGROVE LN, LETHBRIDGE, AB, Canada",1,49.65498849999999,-112.8657324
"1 RIVERGROVE RU, LETHBRIDGE, AB, Canada",7,49.65498849999999,-112.8657324
"1 RIVERHURST CV, LETHBRIDGE, AB, Canada",10,49.6575058,-112.8611253
"1 RIVERINE LN, LETHBRIDGE, AB, Canada",12,49.65827720000001,-112.8600532
"1 RIVERLAND CL, LETHBRIDGE, AB, Canada",12,49.6589177,-112.8573271
"1 RIVERMILL LD, LETHBRIDGE, AB, Canada",18,49.6616407,-112.8621271
"1 RIVERMONT CR, LETHBRIDGE, AB, Canada",1,49.6596086,-112.8615107
"1 RIVERPARK BD, LETHBRIDGE, AB, Canada",8,49.6586838,-112.8668307
"1 RIVERTON CR, LETHBRIDGE, AB, Canada",7,49.6632038,-112.8590983
"1 RIVERVIEW CR, LETHBRIDGE, AB, Canada",9,49.6637512,-112.8629985
"1 RIVERWOOD MN, LETHBRIDGE, AB, Canada",8,49.6956181,-112.8451067
"1 ROBIN RD, LETHBRIDGE, AB, Canada",1,49.7249669,-112.8048991
"1 ROCKY MOUNTAIN BD, LETHBRIDGE, AB, Canada",10,49.6594866,-112.8711866
"1 RUTGERS CR, LETHBRIDGE, AB, Canada",49,49.6718875,-112.8935578
"1 RUTGERS RD, LETHBRIDGE, AB, Canada",5,49.6715283,-112.8925238
"1 RYERSON BY, LETHBRIDGE, AB, Canada",2,49.6956181,-112.8451067
"1 RYERSON PL, LETHBRIDGE, AB, Canada",5,49.6615974,-112.8825515
"1 RYERSON RD, LETHBRIDGE, AB, Canada",9,49.6631857,-112.8807934
"1 SALISH BY, LETHBRIDGE, AB, Canada",2,49.6956181,-112.8451067
"1 SALISH PL, LETHBRIDGE, AB, Canada",20,49.68737290000001,-112.8972781
"1 SANDSTONE RD, LETHBRIDGE, AB, Canada",1,49.65136769999999,-112.8035561
"1 SARCEE PL, LETHBRIDGE, AB, Canada",11,49.68863839999999,-112.8939442
"1 SELKIRK RD, LETHBRIDGE, AB, Canada",30,49.6632165,-112.882864
"1 SENECA PL, LETHBRIDGE, AB, Canada",2,49.66519359999999,-112.8820588
"1 SHERIDAN PL, LETHBRIDGE, AB, Canada",9,49.6646736,-112.8830343
"1 SHERIDAN RD, LETHBRIDGE, AB, Canada",26,49.6659186,-112.8817924
"1 SHERWOOD BD, LETHBRIDGE, AB, Canada",18,49.69030979999999,-112.8850301
"1 SHERWOOD CR, LETHBRIDGE, AB, Canada",2,49.6875249,-112.8832393
"1 SIMON FRASER BD, LETHBRIDGE, AB, Canada",81,49.6666828,-112.8826493
"1 SIXMILE RD, LETHBRIDGE, AB, Canada",2,49.6551285,-112.7849032
"1 SIXMILE RG, LETHBRIDGE, AB, Canada",9,49.6551285,-112.7849032
