address,lat,lng,incidentCount
"300 12B ST, LETHBRIDGE, AB, Canada",49.7031174,-112.8269264,48
"800 4 AV, LETHBRIDGE, AB, Canada",49.69449059999999,-112.8354873,47
"800 12 ST, LETHBRIDGE, AB, Canada",49.71101669999999,-112.8298071,46
"2300 36 ST, LETHBRIDGE, AB, Canada",49.669742,-112.7892,46
"1300 STAFFORD DR, LETHBRIDGE, AB, Canada",49.7167042,-112.8329552,46
"1400 16 ST, LETHBRIDGE, AB, Canada",49.7175124,-112.8204427,46
"2100 5 AV, LETHBRIDGE, AB, Canada",49.6934457,-112.8112672,46
"300 3 ST, LETHBRIDGE, AB, Canada",49.6951865,-112.8434381,46
"1 CHILCOTIN RD, LETHBRIDGE, AB, Canada",49.6827267,-112.8924519,45
"2500 WALSH DR, LETHBRIDGE, AB, Canada",49.69676949999999,-112.8969736,45
"800 8 ST, LETHBRIDGE, AB, Canada",49.6874104,-112.8345285,45
"900 3 AV, LETHBRIDGE, AB, Canada",49.7029968,-112.8346381,45
"1000 4 AV, LETHBRIDGE, AB, Canada",49.6940907,-112.8318737,45
"1 ST JAMES CR, LETHBRIDGE, AB, Canada",49.72232229999999,-112.831273,45
"1000 8 ST, LETHBRIDGE, AB, Canada",49.6836348,-112.833749,45
"2900 12 AV, LETHBRIDGE, AB, Canada",49.6799968,-112.7992889,44
"1800 5 AV, LETHBRIDGE, AB, Canada",49.6931537,-112.8156862,44
"700 COLUMBIA BD, LETHBRIDGE, AB, Canada",49.6698398,-112.8901895,44
"1 HIGHLANDS PL, LETHBRIDGE, AB, Canada",49.6972746,-112.8989334,44
"500 20 ST, LETHBRIDGE, AB, Canada",49.6932351,-112.8134007,44
"500 9 AV, LETHBRIDGE, AB, Canada",49.6859164,-112.8382963,44
"600 6 ST, LETHBRIDGE, AB, Canada",49.6908027,-112.8385866,44
"700 13 ST, LETHBRIDGE, AB, Canada",49.6893494,-112.8245964,43
"500 COLUMBIA BD, LETHBRIDGE, AB, Canada",49.6744573,-112.8895883,43
"3000 26 AV, LETHBRIDGE, AB, Canada",49.6665135,-112.7980794,43
"1700 5 AV, LETHBRIDGE, AB, Canada",49.6932092,-112.8175008,43
"1 LAVAL BD, LETHBRIDGE, AB, Canada",49.6655954,-112.8754943,43
"300 17 ST, LETHBRIDGE, AB, Canada",49.7029374,-112.8186054,42
"1300 6 AV, LETHBRIDGE, AB, Canada",49.6916368,-112.8241513,42
"600 RED CROW BD, LETHBRIDGE, AB, Canada",49.68382,-112.8986746,42
"2700 FAIRWAY PLAZA RD, LETHBRIDGE, AB, Canada",49.6669911,-112.7948459,42
"3400 20 AV, LETHBRIDGE, AB, Canada",49.672747,-112.7915132,42
"500 4 ST, LETHBRIDGE, AB, Canada",49.6924211,-112.8415565,42
"1 DALHOUSIE CT, LETHBRIDGE, AB, Canada",49.6707028,-112.8705793,42
"3700 20 AV, LETHBRIDGE, AB, Canada",49.6724565,-112.7873142,41
"1600 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.6727737,-112.800383,41
"200 SILKSTONE RD, LETHBRIDGE, AB, Canada",49.67174929999999,-112.8968389,41
"800 18 ST, LETHBRIDGE, AB, Canada",49.6880479,-112.8166258,41
"1800 23 ST, LETHBRIDGE, AB, Canada",49.72093659999999,-112.8103933,41
"2700 WESTSIDE DR, LETHBRIDGE, AB, Canada",49.7066586,-112.9013602,40
"100 ST JAMES BD, LETHBRIDGE, AB, Canada",49.7254605,-112.8300015,40
"300 LETTICE PERRY RD, LETHBRIDGE, AB, Canada",49.7327016,-112.8265834,40
"1 MT BLAKISTON RD, LETHBRIDGE, AB, Canada",49.6599902,-112.8717339,40
"100 BLACKFOOT BD, LETHBRIDGE, AB, Canada",49.6779759,-112.8978119,40
"800 1 AV, LETHBRIDGE, AB, Canada",49.6979993,-112.8358089,40
"100 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.6991405,-112.8119204,40
"1 ST & 6 AV, LETHBRIDGE, AB, Canada",49.6880852,-112.8455507,40
"400 BLACKWOLF BD, LETHBRIDGE, AB, Canada",49.73643,-112.81782,39
"1 MT BURKE BD, LETHBRIDGE, AB, Canada",49.6621837,-112.8763746,39
"100 RYERSON RD, LETHBRIDGE, AB, Canada",49.66137790000001,-112.8824669,39
"2300 PARKSIDE DR, LETHBRIDGE, AB, Canada",49.6893284,-112.8067302,39
"800 6 AV, LETHBRIDGE, AB, Canada",49.69115129999999,-112.8346603,39
"3500 20 AV, LETHBRIDGE, AB, Canada",49.6725097,-112.7898661,39
"3500 SYLVAN RD, LETHBRIDGE, AB, Canada",49.6784811,-112.7905761,39
"1300 5A AV, LETHBRIDGE, AB, Canada",49.706604,-112.8233301,39
"100 5 ST, LETHBRIDGE, AB, Canada",49.6976266,-112.8407973,39
"1 STAFFORDVILLE CR, LETHBRIDGE, AB, Canada",49.7211358,-112.834052,39
"300 8 ST, LETHBRIDGE, AB, Canada",49.6956734,-112.835575,38
"500 4 AV, LETHBRIDGE, AB, Canada",49.70353,-112.84057,38
"1 PRINCETON RD, LETHBRIDGE, AB, Canada",49.6744415,-112.8934121,38
"1500 2 AV, LETHBRIDGE, AB, Canada",49.7007459,-112.8209758,38
"3100 FAIRWAY ST, LETHBRIDGE, AB, Canada",49.66356280000001,-112.7942858,38
"2400 10 AV, LETHBRIDGE, AB, Canada",49.7133805,-112.8067881,38
"800 12A ST, LETHBRIDGE, AB, Canada",49.7111267,-112.8287454,38
"600 6 AV, LETHBRIDGE, AB, Canada",49.69081389999999,-112.8371746,38
"1 TARTAN BD, LETHBRIDGE, AB, Canada",49.6959469,-112.8991652,37
