ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
P23009716,"03/02/2023, 4:22:49 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,200 Block SILKSTONE RD,"PUBLIC SERVICE (LOCK-OUT/LOCK-IN, PEACE, WELFARE, RECKLESS ACTIVITY)",Other,"PUBLIC SERVICE (LOCK-OUT/LOCK-IN, PEACE, WELFARE, RECKLESS ACTIVITY)"
P23009717,"03/02/2023, 4:25:39 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,200 Block BRITANNIA BD,INDECENCY/LEWDNESS,Sexual Offense,INDECENCY/LEWDNESS
P23009718,"03/02/2023, 4:35:28 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,2900 Block 29 AV,"SUSPICIOUS/WANTED (PERSON, CIRCUMSTANCES, VEHICLE)",Proactive Policing,"SUSPICIOUS/WANTED (PERSON, CIRCUMSTANCES, VEHICLE)"
P23009719,"03/02/2023, 4:42:17 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,UNKNOWN STREET,TRAFFIC VIOLATION/COMPLAINT/HAZARD,Proactive Policing,TRAFFIC VIOLATION/COMPLAINT/HAZARD
CA23000827,"01/12/2023, 7:50:00 AM","03/03/2023, 5:45:32 AM",LETHBRIDGE,AB,.,1200 Block HURON PL, RMS] Break and Enter - Residential  CC 348(1)(d),Other,Break and Enter - Residential  CC 348(1)(d)
P23009703,"03/02/2023, 2:43:37 PM","03/03/2023, 5:45:30 AM",LETHBRIDGE,AB,.,300 Block 18 ST,ALARMS,Other,ALARMS
P23009704,"03/02/2023, 3:03:13 PM","03/03/2023, 5:45:30 AM",LETHBRIDGE,AB,.,400 Block STAFFORD DR,TRESPASSING/UNWANTED,Quality of Life,TRESPASSING/UNWANTED
P23009705,"03/02/2023, 3:03:29 PM","03/03/2023, 5:45:30 AM",LETHBRIDGE,AB,.,800 Block HERITAGE BD,ALARMS,Other,ALARMS
P23009706,"03/02/2023, 3:08:58 PM","03/03/2023, 5:45:30 AM",LETHBRIDGE,AB,.,200 Block 4 AV,DAMAGE/VANDALISM/MISCHIEF,Quality of Life,DAMAGE/VANDALISM/MISCHIEF
P23009707,"03/02/2023, 3:09:34 PM","03/03/2023, 5:45:30 AM",LETHBRIDGE,AB,.,500 Block LEASIDE AV,"PUBLIC SERVICE (LOCK-OUT/LOCK-IN, PEACE, WELFARE, RECKLESS ACTIVITY)",Other,"PUBLIC SERVICE (LOCK-OUT/LOCK-IN, PEACE, WELFARE, RECKLESS ACTIVITY)"
